strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,id
RHLYO37H,lowhigh,535.32858859592,204.76453636328534,644.4380176490055,1234,129,53,76,CQNY3DWV
S80REUD1,lowhigh,538.2488009148531,207.05787991590753,535.9296455983047,1226,117,46,71,EOMGYWGO
JU3IGZLV,lowhigh,538.4669854894961,206.4860034797107,322.775826567653,1185,107,44,63,TWZIOE6A
FR4QAY97,lowhigh,541.5181943801671,207.43448656374025,317.7505119657506,1204,106,44,62,2ULKIWB2
4MUQRBRV,lowhigh,541.5181943801671,207.43448656374025,317.7505119657506,1204,106,44,62,ZDZBHAYT
J70Y4Z0S,lowhigh,545.1779404344211,206.9869309797131,691.1382733427877,1224,129,53,76,J40RL1C8
O821FG4R,lowhigh,550.2032109353809,203.84698886408518,73.0362752390616,1207,125,54,71,OGO7X27Y
BAZ80VK7,lowhigh,551.3015690317643,209.8595098538791,345.35169328262344,1292,113,47,66,2A3B2Q27
SVGF42BU,lowhigh,554.4068485056673,209.48718539849415,355.30261281000713,1180,112,45,67,HNDJIDJ5
TZFNY9IG,lowhigh,554.4068485056673,209.48718539849415,355.30261281000713,1180,112,45,67,8B94YX9L
X6MAYI1Z,lowhigh,575.2349491904683,212.90685934723842,272.4636705905066,1230,120,51,69,OZT6XL8E
CRRJZNLR,lowhigh,585.6097368001033,209.50963047907106,86.23189353002736,1278,134,59,75,A8DMXHA2
OOD3XZEP,lowhigh,588.8418561259432,210.3027223917328,73.11295653086226,1219,132,64,68,OB98VJBU
V13XR9D3,lowhigh,589.6007976410305,214.92578305843037,199.05670600845156,1242,120,51,69,SRJZLGZ3
IGLZRZ2T,lowhigh,591.5526041134056,216.4887024158744,312.8877021956136,1208,117,46,71,P5UABP2J
HIX7J5JX,lowhigh,591.5526041134056,216.4887024158744,312.8877021956136,1208,117,46,71,WGIPH42V
3BYNCJ4B,lowhigh,591.5526041134056,216.4887024158744,312.8877021956136,1208,117,46,71,FGU65PD3
BK21UHAX,lowhigh,598.3075012194241,215.8070541760796,467.587964620572,1231,123,54,69,3SQKOPUL
ANMTYBFH,lowhigh,609.5430800278464,218.1939925137439,685.0659761103595,1220,123,54,69,W88TUWVX
JBBGD4WU,lowhigh,644.5438110562233,220.67442690797986,132.09846051460727,1279,134,59,75,BZD8BQZT
ESXJO1YE,lowlow,312.01882550185144,136.90044084179146,242.21539501980183,1508,38,16,22,59MVFUEZ
IGRCULDR,lowlow,312.01882550185144,136.90044084179146,242.21539501980183,1508,38,16,22,TSYN97SI
543XZ56R,lowlow,314.79646232782414,147.4620537771464,508.9893073605455,1416,38,12,26,IBFHCLC8
81WN2JVN,lowlow,314.90479213154765,140.40595169883161,315.8627688357504,1424,35,13,22,F35QINS5
DWL9DVVM,lowlow,318.2912410434404,144.2496145446855,618.8506872761345,1337,34,14,20,0TY628PC
YU2AXPNW,lowlow,319.6432670447508,144.0958907268156,564.1006150462538,1621,29,12,17,P1GI49PT
P3DPPIXL,lowlow,320.3825271321952,139.0448532566378,559.7577555420481,1653,33,14,19,OUMU0GQ2
X9VMHN5B,lowlow,327.27130504435314,144.09465823415937,252.04647733300794,1510,36,14,22,90OYSA28
Q5MNUGY9,lowlow,332.0015828283181,152.3711076297744,569.5128614443539,1362,36,12,24,GZR1AX5U
S41HICQQ,lowlow,338.3952810756472,156.7402546671737,541.3390875826937,1493,44,16,28,QA3VW9NU
GBROIFGR,lowlow,338.76908607345723,149.27260153301822,629.9277135167761,1588,32,15,17,KMHBXOR8
XPR3I973,lowlow,342.8517284188256,152.41451620259014,855.5152602998506,1532,32,13,19,GRU2GNHX
S1VKG9L8,lowlow,348.81539499914334,148.94517046193957,2024.84132850994,1421,30,13,17,5XN37QS0
OZNHTOMO,lowlow,349.9546398037737,154.29112187663824,1444.818282338588,1417,34,14,20,AWNIYBEM
IFSUV4OR,lowlow,350.60791282742264,149.87767824510118,129.60984983313904,1424,44,18,26,MLBKU2ZN
N12UWN0C,lowlow,353.6664047658806,151.69145958093233,170.4748921918887,1529,34,13,21,NICG3PI7
ZUJSUF4B,lowlow,368.4905833279992,162.33846411276502,903.2451815412348,1545,32,12,20,8W1MWMDN
KSOR9WTG,lowlow,372.1265811944743,162.5219036499064,792.3721562998135,1510,32,13,19,OFQM0GLZ
DDBVBM0E,lowlow,406.328869426981,171.7228065958023,550.2320217050814,1517,31,13,18,HUWTT2CE
IGRAANM3,lowlow,432.1862032861601,177.98344384258317,1377.814819091183,1532,30,13,17,XYWQU41V
3R997L2J,highhigh,163.62661961013234,70.52439081967856,465.5840382411476,3371,62,26,36,NE8I7O6I
1I1ZOI6N,highhigh,166.87134388733503,74.66485455598931,697.2519000963339,3758,59,20,39,QF8VONND
4V82XORE,highhigh,168.33212731402978,78.62917299295295,366.2124299078275,3063,52,22,30,5Q7FT418
I3T8IOLO,highhigh,168.9412152058555,83.25693507905474,2578.791040408092,2542,60,20,40,0KJVLY94
29W462D1,highhigh,170.4084454567987,127.38714469985129,635.2447947865202,5390,551,221,330,D6W1GQHA
AHHHN9EV,highhigh,170.4084454567987,127.38714469985129,635.2447947865202,5390,551,221,330,F36LDY64
4EVBHYLO,highhigh,171.55795870932664,82.7027348701817,1801.9173477744046,4632,80,27,53,LO9IXSJU
