strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,id,trade_index
8NX5WXX7,lowhigh,239.13476295965728,97.47690545341136,316.1393112496975,655,14,9,5,PTMFD7UO,430.44257332738306
CE0DUMTR,lowhigh,239.13476295965728,97.47690545341136,316.1393112496975,655,14,9,5,FT5TUMQP,430.44257332738306
E5NIQD2G,lowhigh,239.13476295965728,97.47690545341136,316.1393112496975,655,14,9,5,VQTJ1O5L,430.44257332738306
WQ1SFAY6,lowhigh,267.15852203517716,110.1109785386806,185.0071624819247,745,16,10,6,6I1SKMPL,445.2642033919619
NWA3UM6O,lowhigh,178.69202689715186,62.239001483261376,276.53905238919504,751,14,10,4,KDFTH96H,446.73006724287967
HIAKPQCH,lowhigh,269.7512306158579,111.04643092797784,257.0856137870445,744,16,10,6,3UJ90897,449.5853843597631
OF6WMK21,lowhigh,271.6932118823438,111.97522071447574,204.6217107274613,744,16,10,6,7PMEQ2I5,452.82201980390636
CU9BLMMS,lowhigh,271.6932118823438,111.97522071447574,204.6217107274613,744,16,10,6,6T0X04PU,452.82201980390636
PETM9QDJ,lowhigh,271.6932118823438,111.97522071447574,204.6217107274613,744,16,10,6,J5JQVMC8,452.82201980390636
F67L7YOK,lowhigh,154.71694324926267,49.26454820645727,352.8191900789425,321,4,3,1,1E4E8TPJ,464.150829747788
83CYQMIM,lowhigh,155.53161930173988,49.75008943182842,744.1286063181738,256,4,3,1,UKPU4PI7,466.59485790521967
A7FTQVUG,lowhigh,155.6116950385301,49.79928569247406,889.6510219421895,266,4,3,1,PYA5X0QU,466.83508511559023
2HKHK0R7,lowhigh,235.76834049635517,95.61349900805178,1104.611572076789,629,12,8,4,OSZSFRKE,471.53668099271033
FIYYZG5Q,lowhigh,262.5960201344044,109.0855472066953,491.77076569318314,687,12,8,4,ROT8JSMY,525.1920402688088
SG7MVCCG,lowhigh,263.81119830156086,108.08129559111151,202.61921040886503,720,15,10,5,6QU8ZWP7,527.6223966031217
95LYXUP1,lowhigh,263.81119830156086,108.08129559111151,202.61921040886503,720,15,10,5,W40MK7AG,527.6223966031217
DODPDXYQ,lowhigh,263.81119830156086,108.08129559111151,202.61921040886503,720,15,10,5,PCMG17WV,527.6223966031217
VV4JEZJP,lowhigh,283.01739313841307,116.18646874200047,301.67678781390214,750,15,10,5,OXY9QZ3Q,566.0347862768261
IMP1MA7B,lowhigh,283.01739313841307,116.18646874200047,279.8865216285696,750,15,10,5,3GA5GS2B,566.0347862768261
AZSEMR85,lowhigh,279.2873727478357,114.24142409260274,399.39853473629427,751,14,10,4,Z9Y69U5V,698.2184318695893
0Z18O853,lowlow,930.7676315403697,252.8730564388618,1593.4544778367115,1153,136,69,67,RID0BG2I,958.5517399445599
NIYG5OAK,lowlow,930.7676315403697,252.8730564388618,1593.4544778367115,1153,136,69,67,DUT99KS7,958.5517399445599
E4DEVMV8,lowlow,868.5542906538028,259.57815718009346,723.409009078129,1452,36,19,17,H4UNEO54,970.7371483777797
6YV5KXHF,lowlow,1007.8989860935446,260.9602443884863,2811.2918369751146,1143,142,71,71,VLVJSMH9,1007.8989860935445
26DH54NG,lowlow,1014.4913839116392,259.35555193508753,2014.8005998355047,1047,124,62,62,C71PXPLG,1014.4913839116392
EU3TMTTM,lowlow,841.9916504917352,257.2211918752844,297.05282685354166,1492,31,17,14,WKP5ERKJ,1022.4184327399641
O95XJY76,lowlow,877.265469747213,256.8059519420716,2062.8060699394546,1737,26,14,12,1ORNJVNK,1023.4763813717485
NZE1813E,lowlow,862.9992865541994,259.1140613155689,624.6627988441592,1462,35,19,16,46BMV1XL,1024.8116527831119
Q8YOTE9X,lowlow,1222.8909364070244,281.0845426135912,9128.811348411278,1081,135,62,73,KDXDPDDG,1038.6196994141849
YL8X8C3U,lowlow,1222.8909364070244,281.0845426135912,9128.811348411278,1081,135,62,73,WNDU7ACW,1038.6196994141849
NJLCYMX6,lowlow,1037.7546196704448,261.71992426610996,2333.6128569639536,1046,123,62,61,LI5RNMMJ,1054.7669904847144
MP1PN53P,lowlow,1061.979760895431,264.11911543828757,2813.002179445294,995,126,63,63,Y4ICLS0E,1061.979760895431
0QDWXHP7,lowlow,1061.979760895431,264.11911543828757,2813.002179445294,995,126,63,63,6FORH8XD,1061.979760895431
W0UQ83TE,lowlow,1061.979760895431,264.11911543828757,2813.002179445294,995,126,63,63,1V7XBBS5,1061.979760895431
W3KL72MB,lowlow,1083.3412754755277,268.80591687410646,3899.6919709150857,1137,138,69,69,URJ4F98X,1083.3412754755277
NW0J3S7H,lowlow,946.6516075898668,267.37670811358964,806.6626277532563,1809,33,18,15,44Z0VVKT,1135.98192910784
6DTVZ4GO,lowlow,1120.2698441258867,290.40291476429854,890.6817911361143,1571,25,13,12,2FQ7KG81,1213.6256644697107
STG3QSEK,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,WAIFZICJ,1218.7469078347149
EKF29G0K,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,DUCLEITP,1218.7469078347149
3ITD0QQ4,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,BO0G4DL7,1218.7469078347149
VHLWW00N,highhigh,552.976726088177,256.69386470364503,23159.191975400812,5583,1011,383,628,DN4PH6ZC,337.24536001874486
89TX3Y7P,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,PRNDRKQQ,373.1573234758581
X04KG3CG,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,RA9D5LY0,373.1573234758581
P30HJQRG,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,20J5T3FH,373.1573234758581
YK90EPGJ,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,XR5KW2XT,373.1573234758581
LUB9MX3O,highhigh,771.9919603218813,292.96747256159824,46396.31452428938,5390,1207,458,748,NMMM0N59,472.6902644751626
8SAE43NB,highhigh,811.6104369175515,296.76176629481853,76924.87674644837,5525,1105,421,684,DKTB0Z9F,499.5438507928205
4Z7E7OSF,highhigh,1072.9487140707265,326.07829787632977,50884.62404580046,5435,1169,448,720,JWH3RXZI,667.6125331995632
NTKGMW5D,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,HFYPAEOC,743.6552081605265
BMQ9DYZ9,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,E52KB8FM,743.6552081605265
SFRWLJFF,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,N904P593,743.6552081605265
OLP6JOSI,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,90OTZ05G,743.6552081605265
ETYWU6K4,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,UJJ9FK7L,767.1611117869357
U27Z3TKG,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,2DOUDWOR,767.1611117869357
5DUSBQKU,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,0VNLWP33,767.1611117869357
RPP7QH5L,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,C6QNF90Z,767.1611117869357
SSBSN5UF,highhigh,1351.0835112861475,375.12152823420126,91092.64695961661,5581,1011,383,628,ESBPLCDX,823.9888293353416
HABDKIGP,highhigh,2514.989076609288,446.3307216822087,90805.58473413804,5376,1207,457,749,LZQ9PWQ4,1534.5126942729569
KSM3TKP6,highhigh,2593.733903075637,442.4097974366707,230466.40476815944,5521,1105,421,684,DE4HF3CJ,1596.435633325794
UVH2BUJG,highhigh,3931.2615016209247,489.3415856552775,119171.73511822356,5421,1169,447,721,G8MJTK7N,2437.2730807552753
IIPB0HJ7,highlow,1928.9265049752614,366.60634281048084,1470.4120417612141,4173,83,34,49,3DBS6JI1,1338.4387993705895
WKF265T0,highlow,1803.0887559238176,353.927493534592,1334.6793166499458,3286,75,32,43,S3VE1W4P,1341.8334927805154
0O18YPCL,highlow,2056.677619004833,373.02496092832325,1949.9700305035788,4198,121,48,73,SYS9YOZ0,1352.335968660712
BCV5ICNJ,highlow,2056.677619004833,373.02496092832325,1949.9700305035788,4198,121,48,73,HX8P8J19,1352.335968660712
JJ8JK76E,highlow,1775.187264606021,346.29616378291854,2949.364686852285,4056,85,37,48,MEVYJ0EX,1368.3735164671414
31X0VUAZ,highlow,1696.8034518424872,341.6228541469088,1739.5303319889686,3971,96,43,53,OVZRZ1TB,1376.6518571552256
OR5UUUUN,highlow,1852.041440547392,351.01788022148867,987.5864963850148,3655,75,32,43,1YMNUD3N,1378.263397616664
U4WN62FT,highlow,1901.2567101395937,351.13160168077184,1066.2787496997566,3903,75,33,42,PZHVLV2E,1493.8445579668235
KU3MUYS9,highlow,1433.4960088417795,314.29485594831965,944.8569611255749,5014,81,42,39,GLF113MZ,1543.7649325988393
