strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
KS9YXAN5,lowhigh,494.1699579257201,198.26718767613036,615.7333654684797,1201,117,48,69,BTCUSDT,O7S77FQW,343.7704055135444
HALID7GM,lowhigh,497.2372523053739,198.59602504516,321.4154271462314,1222,104,41,63,BTCUSDT,MEBAD5U3,323.59884673841793
RLOOEDH9,lowhigh,497.2372523053739,198.59602504516,321.4154271462314,1222,104,41,63,BTCUSDT,GK6FV9WA,323.59884673841793
JLL2XI8U,lowhigh,497.2372523053739,198.59602504516,321.4154271462314,1222,104,41,63,BTCUSDT,4WQAXEL0,323.59884673841793
LQ704MJT,lowhigh,497.2772650622315,196.89378303660388,280.4382521138035,1160,99,42,57,BTCUSDT,Q30GCQ28,366.41482688796003
CIXK914R,lowhigh,501.26935923146067,199.44454627803438,352.0635951431076,1228,103,43,60,BTCUSDT,VOZ55QVB,359.2430407825468
YEGK9587,lowhigh,501.90349878258405,199.96285401172884,241.0074799016649,1201,108,45,63,BTCUSDT,5DWB5MMI,358.50249913041716
18WE1FSO,lowhigh,501.90349878258405,199.96285401172884,241.0074799016649,1201,108,45,63,BTCUSDT,OO0HGO2Q,358.50249913041716
HSF22TQZ,lowhigh,502.166889922048,195.06233319022738,76.22901013578095,1249,145,63,82,BTCUSDT,HNKQRV7D,385.811147135232
JXDZ9QCX,lowhigh,505.0298580127999,193.76153471802743,18.205472613864217,1215,102,49,53,BTCUSDT,28ASRM6O,466.91439703070176
SMMNT2LK,lowhigh,507.5357191258713,202.48176788364324,289.59038579540163,1290,113,47,66,BTCUSDT,W8064DDL,361.42695149872657
7N4HB84P,lowhigh,507.81869705714684,192.73111190094627,55.52491957599,1156,132,60,72,BTCUSDT,P70O13XS,423.18224754762235
F4RC2SUB,lowhigh,510.69943184470907,199.92216614324556,42.569335549162744,1301,114,39,75,BTCUSDT,8Q5B8VYA,265.5637045592487
K6FFLMR9,lowhigh,516.1506965247829,197.1998734491504,62.25246419611388,1186,129,56,73,BTCUSDT,OZQRF3MC,395.9512192518883
MQDP4TDU,lowhigh,516.1506965247829,197.1998734491504,62.25246419611388,1186,129,56,73,BTCUSDT,Y4QP1O6M,395.9512192518883
NJFVQY7N,lowhigh,516.1506965247829,197.1998734491504,62.25246419611388,1186,129,56,73,BTCUSDT,5T3K5PFU,395.9512192518883
54Z6IC45,lowhigh,520.3179993199777,202.48018599532583,284.19629862578364,1230,101,43,58,BTCUSDT,C5CHXW3N,385.75299949584553
1H4SQMEX,lowhigh,522.7609683749298,197.40648570074282,21.295551381478745,1152,110,46,64,BTCUSDT,NOGBVPM8,375.7344460194808
