strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
C2QJ1F63,lowhigh,274.083966449497,116.05827592230729,233.0084554362909,979,31,11,20,ETHUSDT,PCZOC4HO,150.74618154722333
XQS3H0AW,lowhigh,276.8013777810612,117.13998946904351,181.76061548065718,736,25,12,13,ETHUSDT,7JBZHCKH,255.50896410559497
GTXAL435,lowhigh,278.7614671797223,115.77394863084707,289.92443202004824,794,22,11,11,ETHUSDT,IIAL73OD,278.7614671797223
AZSEMR85,lowhigh,279.2873727478357,114.24142409260274,399.39853473629427,751,14,10,4,ETHUSDT,7CJB1JID,698.2184318695893
QSWLPEEL,lowhigh,280.4384386257741,116.44406220791112,678.02667410681,801,21,10,11,ETHUSDT,1COWAMK3,254.9440351143401
XGCNUK6U,lowhigh,280.4384386257741,116.44406220791112,678.02667410681,801,21,10,11,ETHUSDT,MXIJIEJC,254.9440351143401
VV4JEZJP,lowhigh,283.01739313841307,116.18646874200047,301.67678781390214,750,15,10,5,ETHUSDT,XNX4M008,566.0347862768261
IMP1MA7B,lowhigh,283.01739313841307,116.18646874200047,279.8865216285696,750,15,10,5,ETHUSDT,KLV2NLG1,566.0347862768261
N07H35H1,lowhigh,285.58723185594044,118.53311261599292,321.526735748424,798,22,11,11,ETHUSDT,UA3CH41O,285.58723185594044
7FN2FRCM,lowhigh,286.7570635217725,119.9512387955818,128.42046548054284,742,19,9,10,ETHUSDT,6Z3UAUH1,258.08135716959526
1OYJYLEN,lowhigh,291.25197250975435,125.06789197742162,173.97959045131682,841,47,20,26,ETHUSDT,DODSUVE4,224.03997885365717
ISKD9AJB,lowhigh,297.72223770785126,125.13281093121844,236.0337898265336,704,23,11,12,ETHUSDT,J8S8PJ66,272.912051232197
5YM1ZP7E,lowhigh,303.01457419796805,124.98075286066569,318.68944050971686,793,21,11,10,ETHUSDT,A68WDW1E,333.31603161776485
9E4I287Z,lowhigh,303.2453108526033,124.74863155518352,233.52429714825354,724,22,12,10,ETHUSDT,6Y1AU0J7,363.894373023124
IE83OC50,lowhigh,306.2578596301061,130.66333310879398,271.06593956564967,582,32,14,17,ETHUSDT,HKG6RVL5,252.21235498949918
FO063O3D,lowhigh,307.2586776085573,130.07833832448674,119.40602107823541,618,33,15,17,ETHUSDT,C285N3TZ,271.11059788990354
74ZG3C26,lowhigh,311.19329848696475,130.84721334598714,263.23890321694233,881,31,15,16,ETHUSDT,WO74R9RM,291.74371733152947
P693O0AN,lowhigh,334.3511013067904,139.836401094907,147.15447164007148,617,33,15,17,ETHUSDT,UYYDH2HU,295.01567762363857
YIZ782L1,lowhigh,345.36045967300777,142.50277881832122,111.34454176131786,658,34,16,17,ETHUSDT,52E20N2D,325.045138515772
X85NE07T,lowhigh,358.84464527047464,147.18208520927087,184.3551874895034,657,34,16,17,ETHUSDT,1ZWK4RN1,337.7361367251526
W0UQ83TE,lowlow,1061.979760895431,264.11911543828757,2813.002179445294,995,126,63,63,ETHUSDT,T8AVBIUV,1061.979760895431
46R4F4FT,lowlow,1078.5429867226255,271.0657746330245,8526.318401757355,1533,228,96,132,ETHUSDT,6YK1RM26,784.3948994346367
W3KL72MB,lowlow,1083.3412754755277,268.80591687410646,3899.6919709150857,1137,138,69,69,ETHUSDT,V163CWNT,1083.3412754755277
5T6GGSYE,lowlow,1087.5288274350116,271.84248191456476,7705.686014639686,1532,231,95,136,ETHUSDT,Q1ILAIEZ,759.6708721053391
LX8CE4JC,lowlow,1117.1972920753176,275.21104449782547,5326.658283398367,1124,175,77,98,ETHUSDT,YKA1O3F8,877.7978723448924
6DTVZ4GO,lowlow,1120.2698441258867,290.40291476429854,890.6817911361143,1571,25,13,12,ETHUSDT,BD95VR9Z,1213.6256644697107
Q5HILQAU,lowlow,1134.7564237321383,277.7356291860864,20202.224603923638,1047,191,78,113,ETHUSDT,5P96PFDW,783.2831951425379
5FSUBV1Y,lowlow,1138.5622557680024,275.94022052299647,7456.2628607747865,1059,191,79,112,ETHUSDT,04E0Q30Y,803.0930196935017
SNUN6Z24,lowlow,1145.3100037918148,276.19967494452465,5784.487885526824,1545,243,105,138,ETHUSDT,H08R0M9Z,871.4315246242069
NCWZMQCN,lowlow,1153.2747106549791,277.19840934258343,6741.652724159923,1550,217,94,123,ETHUSDT,PRZVS9T7,881.3644130208784
Y0Q7ADH8,lowlow,1202.265339632654,279.5415413935243,6361.983700637856,1113,152,66,86,ETHUSDT,WGTOMEK3,922.668749020409
1OTTS018,lowlow,1202.265339632654,279.5415413935243,6361.983700637856,1113,152,66,86,ETHUSDT,FMP52GI2,922.668749020409
DU41A5P7,lowlow,1202.265339632654,279.5415413935243,6361.983700637856,1113,152,66,86,ETHUSDT,I9QQOVKR,922.668749020409
DMUGRGSL,lowlow,1218.2255508123428,280.73147530375707,7217.114694922076,1097,152,65,87,ETHUSDT,BQL74VJG,910.168514974739
VWV2P3PM,lowlow,1218.2255508123428,280.73147530375707,7217.114694922076,1097,152,65,87,ETHUSDT,8X1H6MS4,910.168514974739
YL8X8C3U,lowlow,1222.8909364070244,281.0845426135912,9128.811348411278,1081,135,62,73,ETHUSDT,VKI6VIVY,1038.6196994141849
Q8YOTE9X,lowlow,1222.8909364070244,281.0845426135912,9128.811348411278,1081,135,62,73,ETHUSDT,3XPCOMPX,1038.6196994141849
STG3QSEK,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,ETHUSDT,FAJDJ927,1218.7469078347149
3ITD0QQ4,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,ETHUSDT,YNENCM8N,1218.7469078347149
EKF29G0K,lowlow,1352.0473508791367,291.02611659328954,5869.716936957418,1074,135,64,71,ETHUSDT,OZZM7LCG,1218.7469078347149
VHLWW00N,highhigh,552.976726088177,256.69386470364503,23159.191975400812,5583,1011,383,628,ETHUSDT,O2MV74NF,337.24536001874486
P30HJQRG,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,ETHUSDT,TO0RHLHC,373.1573234758581
X04KG3CG,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,ETHUSDT,IF8E7ZDL,373.1573234758581
89TX3Y7P,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,ETHUSDT,YROVVGLI,373.1573234758581
YK90EPGJ,highhigh,558.9681717909973,285.41240726485194,940.437313145726,5332,607,243,364,ETHUSDT,AW90XF1D,373.1573234758581
LUB9MX3O,highhigh,771.9919603218813,292.96747256159824,46396.31452428938,5390,1207,458,748,ETHUSDT,RYCSN9Y3,472.6902644751626
8SAE43NB,highhigh,811.6104369175515,296.76176629481853,76924.87674644837,5525,1105,421,684,ETHUSDT,H01DZDEE,499.5438507928205
SFRWLJFF,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,ETHUSDT,2UKTF2CO,743.6552081605265
NTKGMW5D,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,ETHUSDT,BIB39N9C,743.6552081605265
OLP6JOSI,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,ETHUSDT,UV8S7VID,743.6552081605265
BMQ9DYZ9,highhigh,945.7896774927501,317.20552021353933,1290.7709315368916,5435,677,298,379,ETHUSDT,T2YY4TN9,743.6552081605265
U27Z3TKG,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,ETHUSDT,XMP0QF3R,767.1611117869357
RPP7QH5L,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,ETHUSDT,FDWVX7Q1,767.1611117869357
ETYWU6K4,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,ETHUSDT,7HXKP9DI,767.1611117869357
5DUSBQKU,highhigh,1048.8111703101115,361.7841254114732,1497.4271446016164,4972,677,286,391,ETHUSDT,01L5PD07,767.1611117869357
4Z7E7OSF,highhigh,1072.9487140707265,326.07829787632977,50884.62404580046,5435,1169,448,720,ETHUSDT,VO751KV3,667.6125331995632
SSBSN5UF,highhigh,1351.0835112861475,375.12152823420126,91092.64695961661,5581,1011,383,628,ETHUSDT,WO3HWWIN,823.9888293353416
HABDKIGP,highhigh,2514.989076609288,446.3307216822087,90805.58473413804,5376,1207,457,749,ETHUSDT,RANPHIIP,1534.5126942729569
KSM3TKP6,highhigh,2593.733903075637,442.4097974366707,230466.40476815944,5521,1105,421,684,ETHUSDT,H466MPFQ,1596.435633325794
UVH2BUJG,highhigh,3931.2615016209247,489.3415856552775,119171.73511822356,5421,1169,447,721,ETHUSDT,S46RYPTH,2437.2730807552753
MTEOGAGN,highlow,1838.7935054938114,351.9491785047903,1955.3120282236152,3514,76,32,44,ETHUSDT,GMRY7G4V,1337.3043676318628
AJ1ZMTOX,highlow,1845.5662782666088,351.87955621706885,1453.4768630428305,3377,67,26,41,ETHUSDT,JX6XMGU6,1170.3591032910201
OR5UUUUN,highlow,1852.041440547392,351.01788022148867,987.5864963850148,3655,75,32,43,ETHUSDT,V87NZZMW,1378.263397616664
U4WN62FT,highlow,1901.2567101395937,351.13160168077184,1066.2787496997566,3903,75,33,42,ETHUSDT,YJLF0HTZ,1493.8445579668235
IIPB0HJ7,highlow,1928.9265049752614,366.60634281048084,1470.4120417612141,4173,83,34,49,ETHUSDT,VKS6QM18,1338.4387993705895
12X7HYNR,highlow,1928.9265049752614,366.60634281048084,1470.4120417612141,4173,83,34,49,ETHUSDT,VLIVABAX,1338.4387993705895
QRPEARQH,highlow,1928.9265049752614,366.60634281048084,1470.4120417612141,4173,83,34,49,ETHUSDT,98D1P9KL,1338.4387993705895
HONEX8AH,highlow,1945.7699036320814,356.516987531046,1610.3599995319762,4378,78,37,41,ETHUSDT,ZM2NKMQT,1755.9386935216344
SQMA7W5N,highlow,1971.8259943040077,360.44844882364447,2722.9965773127306,4126,100,45,55,ETHUSDT,92L5M4J1,1613.3121771578246
TGO7WO3Q,highlow,1972.3934525374773,367.69507381280556,1187.4687766584846,4205,339,119,220,ETHUSDT,6A2MVMGQ,1066.8855493270898
QOL1WGNY,highlow,1994.3932375878164,355.7148932601426,1463.4930709098967,3913,66,29,37,ETHUSDT,RDCU2AI0,1563.1730781093697
0O18YPCL,highlow,2056.677619004833,373.02496092832325,1949.9700305035788,4198,121,48,73,ETHUSDT,I9T0XVXN,1352.335968660712
BCV5ICNJ,highlow,2056.677619004833,373.02496092832325,1949.9700305035788,4198,121,48,73,ETHUSDT,O44Y9O6I,1352.335968660712
297AIVZ4,highlow,2082.7951972560213,372.69816580000514,1381.7452477895595,4213,339,120,219,ETHUSDT,KZ0P5UI7,1141.2576423320663
QMWB1AVL,highlow,2244.0648976487164,366.29111059359036,966.6851471899466,3734,67,30,37,ETHUSDT,TPM140OH,1819.5120791746351
A6ZSJHGS,highlow,2247.6717040856615,366.3985266176136,933.0623271690198,3989,72,33,39,ETHUSDT,VQQYK153,1901.876057303252
