strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
WBKVCNJZ,lowhigh,139.03735456478714,39.47501182318231,28.02086012040567,542,14,7,7,XRPUSDT,ELFE45GP,139.03735456478714
NNDAVGO4,lowhigh,139.03735456478714,39.47501182318231,28.02086012040567,542,14,7,7,XRPUSDT,GYUE0R5B,139.03735456478714
K3FKDL87,lowhigh,139.03735456478714,39.47501182318231,28.02086012040567,542,14,7,7,XRPUSDT,UY4VMLEA,139.03735456478714
483T0U5Z,lowhigh,139.50785203119332,37.61800743757616,56.080418877527485,356,3,3,0,XRPUSDT,SIIDTVO8,418.52355609357994
TGTM0HT7,lowhigh,139.50785203119332,37.61800743757616,74.65990856174052,356,3,3,0,XRPUSDT,NCXIJDZM,418.52355609357994
DSKNBYRB,lowhigh,139.6266073486548,39.24931993865792,83.8485893486071,413,11,5,6,XRPUSDT,718LWI67,116.35550612387901
BSKPT1E9,lowhigh,139.6266073486548,39.24931993865792,69.97743613225026,413,11,5,6,XRPUSDT,VH1SSUHJ,116.35550612387901
HJXITG8I,lowhigh,140.19476549134868,40.65361719044128,293.92268222189966,463,34,17,17,XRPUSDT,KYWEWPCG,140.19476549134868
WCJ2MYK1,lowhigh,140.19476549134868,40.65361719044128,310.882610050653,463,34,17,17,XRPUSDT,OIM43N43,140.19476549134868
TG56T1S1,lowhigh,140.61008826458513,38.456564373116215,114.98214255714696,352,3,3,0,XRPUSDT,DPDGKV9V,421.8302647937554
IWXGEJUF,lowhigh,140.61008826458513,38.456564373116215,132.47540143071595,352,3,3,0,XRPUSDT,N3WACBLK,421.8302647937554
RX9ETTIO,lowhigh,140.61008826458513,38.456564373116215,139.47071242471577,352,3,3,0,XRPUSDT,9T3IPS4R,421.8302647937554
NL0WMXXX,lowhigh,140.61008826458513,38.456564373116215,292.7055443936381,352,3,3,0,XRPUSDT,CGVBV1U2,421.8302647937554
H7797HWM,lowhigh,140.61008826458513,38.456564373116215,226.59681233956934,352,3,3,0,XRPUSDT,QFLZQUQZ,421.8302647937554
806NIW59,lowhigh,140.61008826458513,38.456564373116215,162.63378427170332,352,3,3,0,XRPUSDT,QESYQAQO,421.8302647937554
VN7AQ0YM,lowhigh,141.40622552392298,39.0300094547219,156.76470255929445,351,3,3,0,XRPUSDT,VI0PSH4V,424.2186765717689
37HP3RIQ,lowhigh,141.40622552392298,39.0300094547219,140.95800736350148,351,3,3,0,XRPUSDT,SW4PSJU1,424.2186765717689
GUO8OXWM,lowhigh,141.96206710586466,40.08439581342192,117.53494158587996,586,6,4,2,XRPUSDT,5ZALH96B,283.9241342117293
SESH15CS,lowhigh,142.28763241016577,40.57437103643585,73.14625864080271,443,9,6,3,XRPUSDT,LD3YOKDI,284.57526482033154
T2T8NN0C,lowhigh,143.11985839013542,40.89041112664033,284.66841431607423,448,6,4,2,XRPUSDT,6GIER1ZV,286.23971678027084
7FZOJ67C,lowhigh,143.11985839013542,40.89041112664033,243.57699819868483,448,6,4,2,XRPUSDT,SUZOQECU,286.23971678027084
OE1I7PND,lowhigh,143.17598048703098,38.77561430772949,112.46959151711076,612,5,5,0,XRPUSDT,KOMLPM11,715.8799024351549
6KUFKEM8,lowhigh,143.34385044403123,41.575023934619914,64.71588413650584,388,10,6,4,XRPUSDT,K4KDUUB1,215.01577566604686
WZU82JUE,lowhigh,143.34385044403123,41.575023934619914,54.56237066044394,388,10,6,4,XRPUSDT,FOW1KPR6,215.01577566604686
R78CVL86,lowhigh,143.39892375179255,41.21018584080633,153.27744454794663,587,6,4,2,XRPUSDT,IGQ1PROL,286.7978475035851
Z3JDPNNX,lowhigh,143.9810657975861,44.321851430962546,24.059052976707456,653,15,7,8,XRPUSDT,N0PMOZUI,125.98343257288784
4UXFGHYP,lowhigh,144.04104745547514,39.757091934647434,259.5253798885683,713,6,5,1,XRPUSDT,TE3BNIHL,720.2052372773757
UT9FNIJ2,lowhigh,144.07003431283087,41.21591830515259,388.44130124136007,394,6,5,1,XRPUSDT,IV2R2A4U,720.3501715641544
VEGLY40X,lowhigh,144.30085563415287,41.5291626334797,156.62695473188663,485,5,4,1,XRPUSDT,07A13IC9,577.2034225366115
UU5A714Z,lowhigh,145.49894631917988,40.88288196203185,105.59494172095604,714,6,5,1,XRPUSDT,JVPD77YD,727.4947315958993
396PFP2K,lowhigh,146.30489036879044,43.05273354429258,98.54265217306835,486,5,4,1,XRPUSDT,YLEH8T29,585.2195614751618
YVX8XJWF,lowhigh,147.5209240295655,48.74680149441571,73.4674711124556,497,30,11,19,XRPUSDT,O26B9KBG,85.40685075395896
ZN7ZGAUB,lowhigh,147.5209240295655,48.74680149441571,73.4674711124556,497,30,11,19,XRPUSDT,0PXW9X7W,85.40685075395896
3E82IJIL,lowhigh,148.0467511687957,44.86906468288689,182.49098002776108,397,9,5,4,XRPUSDT,1ZOLJX6Z,185.05843896099464
YFVNLD7D,lowhigh,148.0467511687957,44.86906468288689,75.1939847031116,397,9,5,4,XRPUSDT,0KF2ZF50,185.05843896099464
7GIEE3FV,lowhigh,148.4474697093815,42.72542966551809,214.58881221036756,613,5,5,0,XRPUSDT,WQPAW0UB,742.2373485469075
0Z5KP05K,lowhigh,149.23282496571804,45.04570458300794,268.02911237419954,505,5,4,1,XRPUSDT,RBDP3XZP,596.9312998628722
IZZDJ203,lowhigh,149.622156626663,44.88353254351298,213.85057032382474,384,5,5,0,XRPUSDT,U28LJVXV,748.1107831333151
CYCPGL6K,lowhigh,149.622156626663,44.88353254351298,233.12075857683018,384,5,5,0,XRPUSDT,IILCXPFH,748.1107831333151
Z9FZYG3N,lowhigh,151.1555771385243,48.24172148590387,59.466023733600935,524,12,7,5,XRPUSDT,WTEJODOJ,211.61780799393404
924VNXRI,lowlow,419.9151256639249,164.10048366376427,135.49028740956413,950,110,48,62,XRPUSDT,MM1BDDNT,325.0955811591677
V0S44FRU,lowlow,419.9151256639249,164.10048366376427,135.49028740956413,950,110,48,62,XRPUSDT,5G010TY4,325.0955811591677
ZUSXCQ3J,lowlow,422.8929437711504,177.07376262713947,818.482088790178,1084,19,8,11,XRPUSDT,XFGZMDVF,307.55850456083664
7A0X8494,lowlow,423.740802082933,168.46853414570325,1154.3718286995597,1104,17,9,8,XRPUSDT,DKXX0DBG,476.7084023432996
U6GGFYDX,lowlow,424.4532660486591,170.63361476039026,674.0300514934017,837,38,19,19,XRPUSDT,VSGTPZ7K,424.4532660486591
LGEXHWCZ,lowlow,424.4532660486591,170.63361476039026,674.0300514934017,837,38,19,19,XRPUSDT,SGTGSODE,424.4532660486591
EAINYU3O,lowlow,429.63922070672027,159.95318066220315,52.676975924243195,810,81,42,39,XRPUSDT,FIQGOTTL,462.6883915303141
RZGVUVI2,lowlow,429.63922070672027,159.95318066220315,52.676975924243195,810,81,42,39,XRPUSDT,LLXTKW40,462.6883915303141
N7MU7OQH,lowlow,430.62552237841186,177.36051246459922,872.3035032828348,938,17,8,9,XRPUSDT,4WN281S7,382.7782421141439
RTP5W5UU,lowlow,433.3917448052366,177.13102086385976,513.3945415930998,987,50,20,30,XRPUSDT,QEIEE456,288.9278298701577
2X0NK311,lowlow,433.3917448052366,177.13102086385976,513.3945415930998,987,50,20,30,XRPUSDT,S4EZ8JV4,288.9278298701577
GZYSN648,lowlow,436.7813954702652,183.98370633313561,21.450408801464068,1427,136,59,77,XRPUSDT,5Z3LQOWV,334.67665367202136
ZR917054,lowlow,436.7813954702652,183.98370633313561,21.450408801464068,1427,136,59,77,XRPUSDT,CJN3VDI2,334.67665367202136
ZVXWI9NW,lowlow,438.85556816904733,183.1020014325658,325.21734383032964,1072,19,8,11,XRPUSDT,3AY6VWJ5,319.16768594112534
J2TGLWX2,lowlow,438.85556816904733,183.1020014325658,383.41230693751635,1072,19,8,11,XRPUSDT,A38QAPHK,319.16768594112534
MIMAQQNU,lowlow,438.8909465556321,182.28126402256936,714.1344021225957,795,17,8,9,XRPUSDT,J8CUVEEN,390.12528582722854
9KPSIBPW,lowlow,443.5078616301504,170.22837422776348,45.777012504567175,969,103,45,57,XRPUSDT,I3NMRVRG,350.1377854974872
ARFRFQD8,lowlow,443.5078616301504,170.22837422776348,45.777012504567175,969,103,45,57,XRPUSDT,RQXVWCQH,350.1377854974872
TA3E5GYD,lowlow,445.3470211167185,183.78521587309743,644.8992287350817,786,17,8,9,XRPUSDT,3ZW9HEXT,395.86401877041646
SI4CUP4W,lowlow,451.3742783400158,185.7323526343492,155.9647502364361,977,18,8,10,XRPUSDT,G6UX2G15,361.0994226720126
UH3L1YPX,lowlow,452.83186142717267,186.3732959493626,1227.0720652557864,753,18,7,11,XRPUSDT,3DOVWCRG,288.1657299991099
88DOA1T5,lowlow,455.6208886222696,185.83624501799636,413.5704905024208,1101,21,11,10,XRPUSDT,VHAUEP4S,501.1829774844966
QE831VUC,lowlow,456.04221474085864,171.01733498061066,67.19661405719454,960,104,48,55,XRPUSDT,APRMLGPW,398.00047831929487
O2XMYKSP,lowlow,456.04221474085864,171.01733498061066,67.19661405719454,960,104,48,55,XRPUSDT,K9ZRXRCH,398.00047831929487
LUZ4Y5WM,lowlow,456.4952043502915,186.7897654306271,390.2972128270685,930,17,7,10,XRPUSDT,2USA7QWM,319.546643045204
YNN3ER8K,lowlow,461.3135646963172,187.27590851582818,535.5287075313511,978,18,9,9,XRPUSDT,16CJVQ5J,461.31356469631714
TKFDU2LQ,lowlow,462.3139169219033,187.4557165857956,479.18966987607524,983,19,9,10,XRPUSDT,X8OSTER3,416.082525229713
DM5C229K,lowlow,465.0275050761581,184.17040011654106,796.5087650200705,1018,50,22,28,XRPUSDT,EHTCSCRW,365.37875398841
T98QPOCW,lowlow,465.0275050761581,184.17040011654106,796.5087650200705,1018,50,22,28,XRPUSDT,VJ0HIRE7,365.37875398841
L6TAI11V,lowlow,467.9367933412618,189.3059559507305,117.2264946147211,955,17,8,9,XRPUSDT,HVAT0AN2,415.94381630334385
EVEQPKKX,lowlow,473.3773802072656,190.38046274421882,184.07692602643843,959,17,8,9,XRPUSDT,L2Y5H0CA,420.77989351756946
0KJPPL7H,lowlow,475.7510320449994,191.26050861462681,1149.1598413102417,957,17,8,9,XRPUSDT,ZRN6CF5L,422.8898062622217
