strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
V13XR9D3,lowhigh,166.81848075917193,61.12696860065763,174.93449530032714,894,96,37,59,BTCUSDT,1I2TGAFN,64.29462279259751
O78ON1XP,lowhigh,125.12855244282295,27.251177491367777,41.770993446049786,613,35,18,17,BTCUSDT,PTCVNGAF,64.35182697059466
VEOTVDDZ,lowhigh,125.12855244282295,27.251177491367777,41.770993446049786,613,35,18,17,BTCUSDT,JN2B18I1,64.35182697059466
MFLMXKOC,lowhigh,151.9717513082887,49.51239967521159,94.1464122431005,640,47,20,27,BTCUSDT,XGYD1QFH,64.66883034395264
MQIWBOIK,lowhigh,129.803023018455,30.840736606637826,26.583630747744575,631,36,18,18,BTCUSDT,NIVEWJ4E,64.9015115092275
28JAJCB5,lowhigh,129.803023018455,30.840736606637826,26.583630747744575,631,36,18,18,BTCUSDT,3VA9Q98C,64.9015115092275
YYV0SR8Z,lowhigh,129.803023018455,30.840736606637826,26.583630747744575,631,36,18,18,BTCUSDT,UUL33KQP,64.9015115092275
90JZI5KJ,lowhigh,147.92210241201258,49.162728861852365,90.00067266613662,891,72,32,40,BTCUSDT,KSPMCL72,65.74315662756115
JBBGD4WU,lowhigh,176.0595338445514,66.98811281614745,110.7030444051155,953,107,40,67,BTCUSDT,VCQVBTEP,65.81664816618743
LJYK8K2C,lowhigh,148.09231132574357,46.76036759346497,11.305666585344072,699,38,17,21,BTCUSDT,CBPCY8JQ,66.25182348783265
XRW4M8QP,lowhigh,148.09231132574357,46.76036759346497,11.305666585344072,699,38,17,21,BTCUSDT,14UJQPFN,66.25182348783265
KJ08YL9I,lowhigh,148.09231132574357,46.76036759346497,11.305666585344072,699,38,17,21,BTCUSDT,OFMOB3KT,66.25182348783265
BGI1FY8L,lowhigh,148.09231132574357,46.76036759346497,11.305666585344072,699,38,17,21,BTCUSDT,L7AKVZH8,66.25182348783265
7GP26658,lowhigh,157.9802189776672,53.523300609221984,118.59974796048738,647,47,20,27,BTCUSDT,O25Y1HH2,67.22562509687965
LHY19IC8,lowhigh,150.49364709942787,51.0092123006284,68.08617215645543,861,67,30,37,BTCUSDT,L153PRIE,67.3852151191468
BDJAM6JS,lowhigh,160.77240898353395,56.89547904491864,10.0,787,47,20,27,BTCUSDT,W5SINVZC,68.41379105682296
AGOEF1BV,lowhigh,160.77240898353395,56.89547904491864,10.0,787,47,20,27,BTCUSDT,IKNXOKGI,68.41379105682296
HDIXHRWJ,lowhigh,160.77240898353395,56.89547904491864,10.0,787,47,20,27,BTCUSDT,1YQTLL5B,68.41379105682296
