strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
WGWJFLVN,lowhigh,122.97530528849732,27.794464373443848,160.78738028312515,515,21,8,13,ETHUSDT,0ISAVKXV,46.84773534799898
MM3A2LMF,lowhigh,141.2434635437599,43.108049326214264,214.18292568513428,521,21,7,14,ETHUSDT,WJ1WYV6D,47.081154514586636
WD737HTP,lowhigh,141.2434635437599,43.108049326214264,214.18292568513428,521,21,7,14,ETHUSDT,XGVBGCXS,47.081154514586636
KNVKTESW,lowhigh,141.2434635437599,43.108049326214264,214.18292568513428,521,21,7,14,ETHUSDT,LXW9H0F2,47.081154514586636
48G7W6K5,lowhigh,141.2434635437599,43.108049326214264,287.49124941902204,521,21,7,14,ETHUSDT,MIG2N1D7,47.081154514586636
P3D0H2S7,lowhigh,141.2434635437599,43.108049326214264,287.49124941902204,521,21,7,14,ETHUSDT,KPVNQR7H,47.081154514586636
QGLTQDGT,lowhigh,141.2434635437599,43.108049326214264,287.49124941902204,521,21,7,14,ETHUSDT,3ZCIVXQJ,47.081154514586636
NEC4QCQ1,lowhigh,129.62390449788248,33.79171481145424,199.35938576912633,491,22,8,14,ETHUSDT,O7OVFU1B,47.13596527195727
VO8OOFWU,lowhigh,136.5615867937348,39.580966339437005,88.91918750520074,590,26,9,17,ETHUSDT,EZPKXPDQ,47.27131850552358
UYARCURT,lowhigh,136.5615867937348,39.580966339437005,81.39026123349171,590,26,9,17,ETHUSDT,O8NF1BFO,47.27131850552358
D89OPJ0B,lowhigh,142.6985686028582,43.608868573157096,388.77515352128603,527,21,7,14,ETHUSDT,EJB5EFIL,47.56618953428607
NUUAO0W6,lowhigh,142.6985686028582,43.608868573157096,237.65838772364143,527,21,7,14,ETHUSDT,CP50R6HF,47.56618953428607
AHTXQMLR,lowhigh,91.18936954445248,-7.469949840170091,123.52925191881438,423,23,12,11,ETHUSDT,YETCIL9E,47.577062371018684
CV5VGB5K,lowhigh,91.18936954445248,-7.469949840170091,123.52925191881438,423,23,12,11,ETHUSDT,0X8P783O,47.577062371018684
